,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
0,2021-09-05 11:00:03,Other,AIR TEMPERATURE 2 HOURS BEFORE THE RACE = 20 DEGREES,,,,,,1
1,2021-09-05 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2,2021-09-05 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
3,2021-09-05 12:45:02,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
4,2021-09-05 12:58:13,Drs,DRS DISABLED,DISABLED,,,,,1
5,2021-09-05 13:03:08,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
6,2021-09-05 13:05:58,Drs,DRS ENABLED,ENABLED,,,,,3
7,2021-09-05 13:12:10,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:12:10,,BLUE,Driver,,47,8
8,2021-09-05 13:12:40,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:12:40,,BLUE,Driver,,47,8
9,2021-09-05 13:13:59,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:13:59,,BLUE,Driver,,47,9
10,2021-09-05 13:20:44,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:20:44,,BLUE,Driver,,47,15
11,2021-09-05 13:21:27,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:21:26,,BLUE,Driver,,47,15
12,2021-09-05 13:23:58,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:23:58,,BLUE,Driver,,47,17
13,2021-09-05 13:26:51,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:26:50,,BLUE,Driver,,5,19
14,2021-09-05 13:27:24,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:27:24,,BLUE,Driver,,9,20
15,2021-09-05 13:30:04,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:30:04,,BLUE,Driver,,47,22
16,2021-09-05 13:32:54,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:32:53,,BLUE,Driver,,5,24
17,2021-09-05 13:33:07,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:33:07,,BLUE,Driver,,47,24
18,2021-09-05 13:33:32,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:33:32,,BLUE,Driver,,9,25
19,2021-09-05 13:34:21,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:34:20,,BLUE,Driver,,47,25
20,2021-09-05 13:34:41,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:34:40,,BLUE,Driver,,9,25
21,2021-09-05 13:35:02,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:35:01,,BLUE,Driver,,9,26
22,2021-09-05 13:35:17,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:35:17,,BLUE,Driver,,47,26
23,2021-09-05 13:35:26,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:35:25,,BLUE,Driver,,5,26
24,2021-09-05 13:35:33,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:35:32,,BLUE,Driver,,47,26
25,2021-09-05 13:35:51,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:35:50,,BLUE,Driver,,47,26
26,2021-09-05 13:35:54,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:35:53,,BLUE,Driver,,5,26
27,2021-09-05 13:36:43,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:36:42,,BLUE,Driver,,47,27
28,2021-09-05 13:38:44,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:38:43,,BLUE,Driver,,63,29
29,2021-09-05 13:39:05,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:39:05,,BLUE,Driver,,99,29
30,2021-09-05 13:41:41,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:41:41,,BLUE,Driver,,88,31
31,2021-09-05 13:42:20,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:20,,BLUE,Driver,,47,32
32,2021-09-05 13:43:01,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:43:00,,BLUE,Driver,,47,32
33,2021-09-05 13:43:16,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:43:15,,BLUE,Driver,,47,32
34,2021-09-05 13:44:34,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:44:33,,BLUE,Driver,,9,33
35,2021-09-05 13:45:04,Other,5 SECOND TIME PENALTY FOR CAR 63 (RUS) - SPEEDING IN THE PIT LANE,,,,,,34
36,2021-09-05 13:46:34,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:46:33,,BLUE,Driver,,31,35
37,2021-09-05 13:46:38,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 15:46:37,,BLUE,Driver,,6,35
38,2021-09-05 13:47:00,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:47:00,,BLUE,Driver,,31,35
39,2021-09-05 13:47:30,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:47:30,,BLUE,Driver,,14,36
