,Time,Status
0,0 days 00:00:09.836000,Inactive
1,0 days 00:15:00.067000,Started
2,0 days 00:33:00.114000,Finished
3,0 days 00:38:09.709000,Inactive
4,0 days 00:40:00.104000,Started
5,0 days 00:55:00.102000,Finished
6,0 days 01:01:08.246000,Inactive
7,0 days 01:03:00.102000,Started
8,0 days 01:09:31.737000,Aborted
9,0 days 01:17:07.846000,Inactive
10,0 days 01:20:00.113000,Started
11,0 days 01:22:58.646000,Aborted
12,0 days 01:30:05.418000,Inactive
13,0 days 01:33:00.162000,Started
14,0 days 01:35:31.096000,Finished
15,0 days 01:38:13.230000,Finalised
16,0 days 01:54:45.321000,Ends
