,17
RoundNumber,16
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2022
EventDate,2022-09-11 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2022-09-09 14:00:00+02:00
Session1DateUtc,2022-09-09 12:00:00
Session2,Practice 2
Session2Date,2022-09-09 17:00:00+02:00
Session2DateUtc,2022-09-09 15:00:00
Session3,Practice 3
Session3Date,2022-09-10 13:00:00+02:00
Session3DateUtc,2022-09-10 11:00:00
Session4,Qualifying
Session4Date,2022-09-10 16:00:00+02:00
Session4DateUtc,2022-09-10 14:00:00
Session5,Race
Session5Date,2022-09-11 15:00:00+02:00
Session5DateUtc,2022-09-11 13:00:00
F1ApiSupport,True
