,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:40.176000,18.7,65.0,1019.9,False,31.6,215,4.8
1,0 days 00:01:40.176000,18.7,65.0,1019.9,False,31.4,225,5.3
2,0 days 00:02:40.188000,18.7,65.0,1020.0,False,31.2,224,5.1
3,0 days 00:03:40.198000,18.8,65.0,1019.9,False,31.2,210,5.0
4,0 days 00:04:40.189000,18.8,66.0,1019.9,False,31.2,207,4.8
5,0 days 00:05:40.187000,18.8,66.0,1020.0,False,31.6,215,5.2
6,0 days 00:06:40.202000,18.9,65.0,1020.1,False,31.6,216,5.7
7,0 days 00:07:40.196000,18.9,65.0,1020.0,False,31.2,216,6.0
8,0 days 00:08:40.189000,18.8,66.0,1019.9,False,31.0,213,5.7
9,0 days 00:09:40.199000,18.7,66.0,1020.0,False,31.0,208,5.7
10,0 days 00:10:40.201000,18.6,66.0,1020.1,False,31.0,208,5.3
11,0 days 00:11:40.223000,18.6,66.0,1020.0,False,31.2,219,5.7
12,0 days 00:12:40.195000,18.5,64.0,1020.0,False,31.2,211,4.8
13,0 days 00:13:40.199000,18.5,66.0,1020.1,False,30.5,231,5.5
14,0 days 00:14:40.207000,18.5,65.0,1020.0,False,30.5,214,5.0
15,0 days 00:15:40.220000,18.5,65.0,1019.9,False,30.7,210,3.8
16,0 days 00:16:40.225000,18.5,66.0,1019.9,False,31.2,233,4.3
17,0 days 00:17:40.221000,18.5,64.0,1020.0,False,31.5,234,5.7
18,0 days 00:18:40.220000,18.5,64.0,1019.9,False,31.1,231,4.1
19,0 days 00:19:40.228000,18.6,64.0,1020.0,False,30.3,225,3.9
20,0 days 00:20:40.256000,18.6,64.0,1020.1,False,29.9,213,4.2
21,0 days 00:21:40.255000,18.7,64.0,1019.9,False,29.7,230,5.6
22,0 days 00:22:40.256000,18.7,65.0,1020.0,False,30.6,216,4.4
23,0 days 00:23:40.254000,18.8,64.0,1019.9,False,30.6,222,3.5
24,0 days 00:24:40.256000,18.8,65.0,1020.0,False,30.2,223,4.6
25,0 days 00:25:40.258000,18.7,64.0,1020.0,False,29.6,228,3.9
26,0 days 00:26:40.271000,18.5,64.0,1020.0,False,29.5,231,3.8
27,0 days 00:27:40.286000,18.4,63.0,1020.1,False,29.2,232,3.8
28,0 days 00:28:40.309000,18.3,65.0,1020.1,False,28.7,236,4.9
29,0 days 00:29:40.348000,18.3,65.0,1020.1,False,28.6,229,4.4
30,0 days 00:30:40.316000,18.3,65.0,1020.0,False,28.5,229,3.4
31,0 days 00:31:40.342000,18.3,65.0,1020.0,False,28.3,228,4.3
32,0 days 00:32:40.329000,18.3,65.0,1020.0,False,28.0,238,5.4
33,0 days 00:33:40.337000,18.3,66.0,1020.0,False,27.9,201,4.2
34,0 days 00:34:40.340000,18.2,66.0,1020.1,False,28.0,218,2.4
35,0 days 00:35:40.353000,18.3,66.0,1020.0,False,28.2,220,4.1
36,0 days 00:36:40.366000,18.3,66.0,1020.0,False,28.2,221,4.6
37,0 days 00:37:40.342000,18.5,66.0,1020.0,False,29.3,195,4.0
38,0 days 00:38:40.343000,18.5,67.0,1020.0,False,29.3,221,4.5
39,0 days 00:39:40.345000,18.5,66.0,1020.0,False,29.0,229,4.7
40,0 days 00:40:40.348000,18.5,66.0,1020.0,False,28.5,228,5.2
41,0 days 00:41:40.348000,18.5,66.0,1020.0,False,28.3,183,4.5
42,0 days 00:42:40.336000,18.6,67.0,1020.0,False,28.7,210,4.7
43,0 days 00:43:40.348000,18.7,67.0,1020.0,False,28.7,232,5.0
44,0 days 00:44:40.343000,18.7,67.0,1020.0,False,28.6,222,5.2
45,0 days 00:45:40.347000,18.6,65.0,1020.1,False,28.4,226,4.6
46,0 days 00:46:40.341000,18.6,65.0,1019.9,False,28.3,217,3.2
47,0 days 00:47:40.344000,18.5,66.0,1020.1,False,28.1,240,4.2
48,0 days 00:48:40.352000,18.5,66.0,1020.0,False,28.0,225,3.9
49,0 days 00:49:40.339000,18.4,66.0,1020.0,False,27.5,212,4.7
50,0 days 00:50:40.346000,18.3,66.0,1020.0,False,27.5,203,3.8
51,0 days 00:51:40.355000,18.3,65.0,1020.0,False,27.7,244,3.5
52,0 days 00:52:40.347000,18.3,65.0,1020.1,False,28.0,231,3.9
53,0 days 00:53:40.348000,18.4,65.0,1020.0,False,28.9,238,3.6
54,0 days 00:54:40.355000,18.5,66.0,1020.0,False,29.4,239,3.6
55,0 days 00:55:40.351000,18.6,65.0,1020.0,False,29.2,219,3.7
56,0 days 00:56:40.349000,18.6,64.0,1020.0,False,29.2,232,2.8
57,0 days 00:57:40.359000,18.7,63.0,1020.0,False,29.1,208,3.2
58,0 days 00:58:40.358000,18.7,62.0,1020.1,False,28.9,217,3.9
59,0 days 00:59:40.362000,18.6,62.0,1019.9,False,28.5,221,3.7
60,0 days 01:00:40.372000,18.6,63.0,1020.0,False,28.5,210,3.7
61,0 days 01:01:40.368000,18.6,62.0,1019.9,False,29.7,224,4.2
62,0 days 01:02:40.387000,18.9,64.0,1020.0,False,30.0,234,4.1
63,0 days 01:03:40.412000,19.0,62.0,1019.9,False,30.4,205,3.9
64,0 days 01:04:40.410000,19.0,60.0,1020.0,False,30.9,211,5.8
65,0 days 01:05:40.401000,19.2,59.0,1019.9,False,30.5,205,4.4
66,0 days 01:06:40.408000,19.3,58.0,1019.9,False,30.9,216,4.7
67,0 days 01:07:40.408000,19.3,59.0,1020.0,False,31.2,213,4.4
68,0 days 01:08:40.430000,19.3,57.0,1020.0,False,31.2,202,4.5
