,Time,Status,Message
0,0 days 00:00:00,2,Yellow
1,0 days 00:03:22.262000,1,AllClear
2,0 days 00:05:07.967000,2,Yellow
3,0 days 00:06:33.358000,1,AllClear
4,0 days 00:56:30.244000,5,Red
5,0 days 01:49:22.639000,1,AllClear
6,0 days 01:50:17.767000,2,Yellow
7,0 days 01:50:48.524000,1,AllClear
8,0 days 01:50:49.447000,2,Yellow
9,0 days 01:50:57.658000,1,AllClear
10,0 days 01:51:06.322000,2,Yellow
11,0 days 02:08:52.652000,1,AllClear
12,0 days 02:16:22.768000,4,SCDeployed
13,0 days 02:26:05.268000,1,AllClear
