,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:37.567000,26.4,35.0,998.9,False,44.6,141,1.7
1,0 days 00:01:37.579000,26.4,36.0,999.0,False,44.2,0,0.9
2,0 days 00:02:37.578000,26.3,35.0,999.0,False,44.1,114,1.0
3,0 days 00:03:37.592000,26.3,36.0,998.9,False,44.1,112,1.4
4,0 days 00:04:37.579000,26.4,36.0,998.9,False,44.4,223,0.9
5,0 days 00:05:37.583000,26.5,36.0,999.0,False,44.5,171,0.7
6,0 days 00:06:37.584000,26.5,36.0,998.9,False,44.5,195,1.2
7,0 days 00:07:37.589000,26.5,35.0,998.9,False,44.4,98,1.7
8,0 days 00:08:37.583000,26.5,35.0,998.8,False,44.5,143,1.9
9,0 days 00:09:37.587000,26.3,36.0,998.9,False,44.2,129,2.1
10,0 days 00:10:37.584000,26.2,35.0,998.9,False,44.4,110,1.7
11,0 days 00:11:37.601000,26.3,36.0,998.9,False,44.3,94,1.4
12,0 days 00:12:37.582000,26.2,36.0,998.9,False,44.2,98,1.1
13,0 days 00:13:37.603000,26.2,36.0,998.8,False,44.0,148,1.1
14,0 days 00:14:37.624000,26.3,38.0,998.8,False,44.5,191,1.0
15,0 days 00:15:37.638000,26.3,36.0,998.8,False,44.8,101,1.0
16,0 days 00:16:37.640000,26.4,36.0,998.8,False,44.5,192,1.0
17,0 days 00:17:37.629000,26.5,36.0,998.8,False,44.1,137,1.5
18,0 days 00:18:37.652000,26.6,37.0,998.7,False,44.0,109,1.2
19,0 days 00:19:37.659000,26.6,36.0,998.7,False,44.1,107,1.9
20,0 days 00:20:37.673000,26.6,36.0,998.8,False,44.1,120,1.4
21,0 days 00:21:37.665000,26.8,36.0,998.8,False,43.9,139,1.5
22,0 days 00:22:37.693000,26.8,36.0,998.7,False,43.8,137,1.2
23,0 days 00:23:37.694000,26.6,35.0,998.7,False,43.7,164,1.7
24,0 days 00:24:37.710000,26.6,36.0,998.7,False,43.5,197,1.4
25,0 days 00:25:37.721000,26.6,36.0,998.7,False,43.3,203,1.6
26,0 days 00:26:37.721000,26.7,36.0,998.6,False,43.0,177,2.3
27,0 days 00:27:37.724000,26.7,36.0,998.6,False,43.0,186,1.7
28,0 days 00:28:37.730000,26.8,36.0,998.6,False,43.0,172,2.0
29,0 days 00:29:37.815000,26.7,35.0,998.6,False,43.0,179,1.4
30,0 days 00:30:37.727000,26.6,36.0,998.6,False,42.9,198,1.9
31,0 days 00:31:37.726000,26.5,35.0,998.6,False,42.7,197,3.0
32,0 days 00:32:37.740000,26.6,35.0,998.7,False,42.3,189,3.2
33,0 days 00:33:37.726000,26.5,36.0,998.6,False,42.3,161,2.2
34,0 days 00:34:37.730000,26.5,35.0,998.6,False,42.3,193,2.0
35,0 days 00:35:37.733000,26.5,36.0,998.5,False,42.0,195,1.3
36,0 days 00:36:37.738000,26.5,36.0,998.6,False,42.3,208,0.6
37,0 days 00:37:37.726000,26.5,36.0,998.5,False,42.6,184,1.1
38,0 days 00:38:37.734000,26.6,36.0,998.6,False,42.4,143,1.7
39,0 days 00:39:37.733000,26.6,37.0,998.6,False,42.6,177,2.0
40,0 days 00:40:37.734000,26.7,37.0,998.6,False,42.8,179,2.2
41,0 days 00:41:37.741000,26.7,35.0,998.6,False,42.5,133,1.6
42,0 days 00:42:37.743000,26.6,35.0,998.6,False,42.5,271,1.5
43,0 days 00:43:37.736000,26.5,35.0,998.6,False,42.1,190,1.2
44,0 days 00:44:37.736000,26.4,35.0,998.6,False,41.8,171,0.8
45,0 days 00:45:37.738000,26.4,35.0,998.7,False,42.0,189,1.1
46,0 days 00:46:37.740000,26.5,35.0,998.5,False,42.1,177,2.7
47,0 days 00:47:37.740000,26.7,35.0,998.6,False,41.8,172,2.1
48,0 days 00:48:37.739000,26.7,36.0,998.6,False,41.8,148,2.0
49,0 days 00:49:37.743000,26.6,36.0,998.6,False,41.9,228,1.6
50,0 days 00:50:37.741000,26.7,36.0,998.6,False,41.6,261,1.6
51,0 days 00:51:37.740000,26.7,36.0,998.5,False,41.6,247,1.4
52,0 days 00:52:37.742000,26.7,36.0,998.5,False,42.1,133,0.7
53,0 days 00:53:37.744000,26.8,37.0,998.5,False,42.4,102,1.0
54,0 days 00:54:37.744000,26.8,36.0,998.5,False,42.7,142,1.6
55,0 days 00:55:37.760000,26.8,38.0,998.3,False,42.6,149,1.2
56,0 days 00:56:37.786000,26.8,36.0,998.4,False,42.4,187,1.0
57,0 days 00:57:37.795000,26.9,35.0,998.5,False,42.1,159,1.6
58,0 days 00:58:37.794000,26.9,35.0,998.5,False,42.0,172,2.3
59,0 days 00:59:37.793000,26.8,34.0,998.5,False,42.0,175,2.1
60,0 days 01:00:37.794000,26.8,35.0,998.5,False,41.7,198,1.4
61,0 days 01:01:37.798000,26.9,35.0,998.5,False,41.7,225,1.8
62,0 days 01:02:37.797000,26.9,36.0,998.4,False,41.9,221,1.5
63,0 days 01:03:37.806000,26.8,37.0,998.5,False,41.9,193,1.3
64,0 days 01:04:37.805000,26.9,37.0,998.4,False,41.9,192,1.4
65,0 days 01:05:37.799000,26.9,37.0,998.4,False,42.0,122,1.3
66,0 days 01:06:37.803000,26.8,37.0,998.4,False,42.0,158,1.1
67,0 days 01:07:37.807000,26.8,38.0,998.5,False,42.0,183,1.3
68,0 days 01:08:37.820000,26.7,37.0,998.5,False,41.8,182,1.6
