,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:22:58.333000,2,Yellow
2,0 days 00:23:13.193000,5,Red
3,0 days 00:24:55.689000,1,AllClear
4,0 days 00:24:55.955000,2,Yellow
5,0 days 00:27:47.073000,1,AllClear
6,0 days 00:42:29.347000,2,Yellow
7,0 days 00:45:06.769000,1,AllClear
8,0 days 01:03:30.461000,2,Yellow
9,0 days 01:06:36.050000,1,AllClear
10,0 days 01:14:55.698000,5,Red
11,0 days 01:16:56.173000,1,AllClear
12,0 days 01:17:15.611000,2,Yellow
13,0 days 01:19:15.246000,1,AllClear
14,0 days 01:35:40.643000,2,Yellow
